,MAE,MSE,RMSE,R2,CV_R2_Mean,CV_R2_Std,Train_Time
Linear Regression,9.8831,151.6989,12.3166,0.0981,0.1015,0.0044,0.011
Ridge Regression,9.8831,151.6989,12.3166,0.0981,0.1015,0.0044,0.006
Lasso Regression,9.878,151.6367,12.3141,0.0985,0.1019,0.004,0.065
Decision Tree,10.2921,168.6598,12.9869,-0.0027,0.002,0.0109,0.08
Random Forest,9.9015,153.6052,12.3938,0.0868,0.0988,0.0072,7.782
Gradient Boosting,9.9031,152.7686,12.36,0.0917,0.1036,0.008,9.001
AdaBoost,9.7979,149.6658,12.2338,0.1102,0.1196,0.0036,3.601
KNN Regressor,10.5202,172.2566,13.1247,-0.0241,-0.0184,0.0088,0.077
SVR (RBF Kernel),9.9978,155.5646,12.4726,0.0751,0.0808,0.008,16.335
